alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
CAB,7,-73261.42394585254,-4942.128315733183,"[44.580613819605695, 1.8796281651668019, 0.2892176025926422, 84.47796638632015, 1.5215472627193882, 0.16447667281472256, -2.7740354412856543]",50,100,20.07
CAB,5,-80920.1351109895,-3743.760965866201,"[13.08367378788685, 1.5569278623116196, 0.26961868090016267, 110.13637129456554, 1.8502003547716888, 0.15303413455005785, -3.211473247464553]",50,100,20.23
CAB,3,-56594.801728561695,-4859.12467106283,"[26.84851155796728, 1.6994373170069268, 0.376206189390624, 136.5911158175189, 1.7014664967227109, 0.13569678219463766, -2.6190700157476194]",50,100,20.48
CAB,8,-54354.74291629776,-4159.363100634633,"[31.16880652997769, 2.439708735654793, 0.36094919141405235, 194.6393988039333, 2.1957390591270514, 0.27332921062809945, -2.693314830715707]",50,100,20.23
CAB,9,-73175.64069199508,-4701.732680138763,"[32.14973202729239, 1.6998274436899496, 0.27237329317061837, 156.82294709685564, 1.7909287104773954, 0.1701345054967148, -2.917722090959888]",50,100,20.58
CAB,10,-55070.97327096971,-2822.479045767258,"[15.989261793741772, 2.3938967270438747, 0.3177447956235775, 92.49880172993103, 1.8774018590534944, 0.3120733928670486, -1.5360199041941935]",50,100,20.74
CAB,11,-90214.97087104377,-4765.886679374681,"[10.761162407544901, 1.554277002959389, 0.31621391919594954, 25.414356334736677, 0.5024010644966928, 0.4579669583711511, -3.1689616597467225]",50,100,20.32
CAB,12,-58769.58297943877,-2269.3993531247297,"[24.853583982150962, 2.1430916964379607, 0.47956589760160856, 114.82261248062441, 2.090511185641898, 0.11573591437711486, -2.414141961782154]",50,100,19.46
CAB,13,-84752.45474469592,-5473.953404847413,"[42.803926314808855, 1.5218340007518614, 0.2530719364069196, 46.816564778191506, 2.3241049878173556, 0.19307763047054344, -2.78103859551628]",50,100,19.65
CAB,15,-39899.824969158246,-1832.6144900295485,"[32.111548466469316, 1.6163199874726262, 0.3861071721107746, 152.70497044034795, 1.5537413760688337, 0.3479032332841905, -1.7342001750470293]",50,100,20.08
