alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,27,-1603.8279259008175,-807.7126551376914,"[10.0, 0.41938254959498145, 0.05, 340.0901865535004, 0.0, 0.28651845500252704, 0.0, 0.0]",50,22,10,0.0001,10,"[-1298.4262116259727, -1480.5954434756527, -1487.927231401448, -1501.956552442775, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1523.0575375624328, -1523.0575375624328, -1523.0575375624328, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.86
PSO,28,-1603.8279259008175,-807.7126551376914,"[10.0, 0.20568109143705723, 0.3632584320089489, 340.05218462478547, 0.04383770064444023, 0.5, 0.0, 0.0]",50,21,10,0.0001,10,"[-1464.6787964737448, -1491.659450673008, -1491.659450673008, -1504.452499233723, -1531.1151338772545, -1531.1151338772545, -1550.863323989782, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.8
PSO,33,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.09471565341514197, 340.0353398439539, 0.0, 0.05, 0.0, 0.0]",50,16,10,0.0001,10,"[-1464.2157667427798, -1491.659450673008, -1552.5699693951299, -1552.5699693951299, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.08
PSO,34,-1484.1224321713994,-637.4208415369872,"[4.100563162132733, 2.037765578348357, 0.05, 400.0, 0.6037520792331754, 0.09949830034937576, 0.0, 0.0]",50,13,10,0.0001,10,"[-1480.5954434756527, -1480.5954434756527, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994]",1.69
PSO,31,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.42889400727537214, 340.23113053127884, 0.49617701226630273, 0.05, 0.0, 0.0]",50,20,10,0.0001,10,"[-1480.5954434756527, -1501.956552442775, -1502.98181304887, -1502.98181304887, -1502.98181304887, -1549.8558788315738, -1581.5888723614016, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.65
PSO,37,-1638.7365278623915,-584.0116925595038,"[5.408078235933597, 0.31680600914496687, 0.22456315314344072, 366.6277536741638, 1.1892362022740521, 0.401902844021117, 0.0, 0.0]",50,12,10,0.0001,10,"[-1481.086967965724, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",1.74
PSO,32,-1603.8279259008175,-807.7126551376914,"[10.0, 0.40250463598996156, 0.39938219150062515, 340.07067158149204, 0.0, 0.2656455666874966, 0.0, 0.0]",50,23,10,0.0001,10,"[-1278.1386975613368, -1480.5954434756527, -1501.956552442775, -1510.687256721287, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.96
PSO,35,-1603.8279259008175,-807.7126551376914,"[9.531700331222638, 0.0, 0.5, 339.9422607508436, 0.13450948245248623, 0.1446551585647717, 0.0, 0.0]",50,21,10,0.0001,10,"[-1380.1470921017078, -1491.659450673008, -1491.659450673008, -1504.452499233723, -1504.452499233723, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1550.863323989782, -1550.863323989782, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.77
PSO,36,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.5, 339.70469004509334, 0.0, 0.05, 0.0, 0.0]",50,20,10,0.0001,10,"[-1493.9860886384408, -1493.9860886384408, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1523.0575375624328, -1552.5699693951299, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.55
PSO,30,-1638.7365278623915,-591.1350041810728,"[5.4890392455742365, 0.4731918470021865, 0.18480177200475728, 365.74756034361, 0.7054994984981557, 0.15313194106649328, 0.0, 0.0]",50,29,10,0.0001,10,"[-1464.2157667427798, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1501.956552442775, -1533.2548618203552, -1562.964888182225, -1573.284600876104, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",3.98
PSO,38,-1497.6553770073208,-464.5692908433327,"[4.531885753441696, 2.2305586131819006, 0.11450736361490256, 394.836613691136, 1.381305631657757, 0.4070714642099237, 0.0, 0.0]",50,16,10,0.0001,10,"[-1480.5954434756527, -1480.5954434756527, -1484.1224321713994, -1484.1224321713994, -1484.1224321713994, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208, -1497.6553770073208]",2.17
PSO,43,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.14655388190303886, 339.99952272702984, 0.0, 0.22081288617167716, 0.0, 0.0]",50,13,10,0.0001,10,"[-1366.0909046253557, -1523.0575375624328, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.68
PSO,39,-1603.8279259008175,-807.7126551376914,"[9.967776138451065, 2.1831147461262344, 0.05, 342.683794702944, 0.0, 0.4224251143064408, 0.0, 0.0]",50,20,10,0.0001,10,"[-1321.3160113572221, -1468.4018430194287, -1468.4018430194287, -1509.8843329369474, -1509.8843329369474, -1509.8843329369474, -1520.932040456098, -1526.1774685256687, -1533.2548618203552, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.5
PSO,41,-1603.8279259008175,-807.7126551376914,"[10.0, 0.07928781796296036, 0.5, 339.5054485303766, 0.0, 0.2224142744936096, 0.0, 0.0]",50,15,10,0.0001,10,"[-1377.3026062683384, -1509.8843329369474, -1552.5699693951299, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.94
PSO,42,-1603.8279259008175,-807.7126551376914,"[10.0, 0.13149229563028653, 0.10694494561418913, 340.1911645529554, 0.0, 0.28398352787862097, 0.0, 0.0]",50,19,10,0.0001,10,"[-1123.2520123239692, -1498.3848069229998, -1498.3848069229998, -1502.98181304887, -1531.1151338772545, -1531.1151338772545, -1550.863323989782, -1550.863323989782, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.44
PSO,40,-1638.7365278623915,-591.1350041810728,"[5.144340583572204, 0.4635445035585575, 0.1637049409720673, 365.28459171516704, 0.9917123603039579, 0.3747250194506652, 0.0, 0.0]",50,22,10,0.0001,10,"[-1455.6870693486187, -1493.9860886384408, -1510.687256721287, -1510.687256721287, -1510.687256721287, -1581.5888723614016, -1581.5888723614016, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",2.92
PSO,44,-1603.8279259008175,-807.7126551376914,"[9.659122714372323, 0.0, 0.40544135169545537, 339.9704640614939, 0.0, 0.47137133206382964, 0.0, 0.0]",50,20,10,0.0001,10,"[-1377.3026062683384, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1480.5954434756527, -1496.810365716286, -1533.2548618203552, -1533.2548618203552, -1550.863323989782, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.62
PSO,49,-1638.7365278623915,-584.0116925595038,"[4.543713314506459, 0.16067906021931666, 0.2924517116633823, 366.8366907106346, 1.2718544067627762, 0.5, 0.0, 0.0]",50,12,10,0.0001,10,"[-1464.2157667427798, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915, -1638.7365278623915]",1.77
PSO,46,-1603.8279259008175,-807.7126551376914,"[10.0, 1.820643946325292, 0.05, 342.96051867618144, 0.28438360115836603, 0.2762985858592981, 0.0, 0.0]",50,19,10,0.0001,10,"[-1157.1129922005905, -1464.6787964737448, -1480.5954434756527, -1510.687256721287, -1510.687256721287, -1519.1806500118307, -1519.1806500118307, -1575.8990803991082, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",2.45
PSO,47,-1603.8279259008175,-807.7126551376914,"[10.0, 0.0, 0.5, 340.3008063922141, 0.0, 0.37175541763211734, 0.0, 0.0]",50,15,10,0.0001,10,"[-1508.8492889223044, -1510.687256721287, -1526.5574307747286, -1535.7476261669626, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175, -1603.8279259008175]",1.9
PSO,45,-1531.1151338772545,-833.3530144636737,"[7.923640883613038, 1.8830734599276628, 0.18694514009567836, 347.7633136279635, 0.2878338747209198, 0.3801430190176354, 0.0, 0.0]",50,20,10,0.0001,10,"[-1464.2157667427798, -1491.659450673008, -1491.659450673008, -1491.659450673008, -1491.659450673008, -1491.659450673008, -1496.810365716286, -1510.687256721287, -1510.687256721287, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545, -1531.1151338772545]",2.69
