alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,17,-9120.612614316176,-1566.7637681840627,"[2.0, 0.44079660523221786, 0.0, 20.0, 1.1195998443510224, 0.0, 6.825229362672391, 10.279830021704058]",50,27,10,0.0001,10,"[-2261.594876012081, -2638.0796742139173, -2836.7720518604738, -2836.7720518604738, -2836.7720518604738, -2836.7720518604738, -2836.7720518604738, -2836.7720518604738, -2836.7720518604738, -4347.846988657224, -6521.116216377481, -7821.722432589116, -8246.78331154277, -8246.78331154277, -8246.78331154277, -8246.78331154277, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176]",3.77
PSO,22,-9000.575024764077,-1527.9934483349198,"[2.5284937418057343, 0.48404778989318753, 0.0, 20.0, 1.33870541666712, 0.0, 12.0, 12.202192895794978]",50,24,10,0.0001,10,"[-2242.240165775352, -3153.882220811588, -3153.882220811588, -3153.882220811588, -3153.882220811588, -3153.882220811588, -3153.882220811588, -3288.6831472576287, -3951.8343934064587, -7483.362201281638, -7483.362201281638, -8229.879921589294, -8844.88612579274, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077]",3.28
PSO,24,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.6297477561689073, 0.0, 12.0, 9.409334961141669]",50,16,10,0.0001,10,"[-2087.8253419916423, -2518.5755004188513, -4539.439950040861, -7897.127927172501, -8426.618257455006, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.3
PSO,27,-9433.138479717216,-1858.7831858112297,"[2.0, 0.48088633132613107, 0.0, 20.0, 0.6373475976110903, 0.0, 12.0, 9.416550423948927]",50,17,10,0.0001,10,"[-3038.091990467837, -7373.878641208226, -8440.33989941665, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.41
PSO,29,-9433.138479717216,-1858.7831858112297,"[2.0, 0.2743855301802972, 0.0, 20.0, 0.521005912323926, 0.0, 12.0, 9.442967777603712]",50,18,10,0.0001,10,"[-2518.5755004188513, -3549.695725138874, -6090.246973658884, -7821.722432589116, -9120.612614316176, -9120.612614316176, -9397.744272871574, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.54
PSO,32,-9433.138479717216,-1858.7831858112297,"[2.0, 0.44271406301587546, 0.0, 20.0, 1.1188267013245847, 0.0, 11.876334009348797, 9.403187142748969]",50,16,10,0.0001,10,"[-3543.313072544425, -6036.048754624135, -7995.23819518074, -8420.45418167448, -8430.710758305502, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.17
PSO,28,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.9486301947349748, 0.0, 11.57075931072968, 8.78504830205398]",50,20,10,0.0001,10,"[-2632.273689335774, -2916.5898824819856, -2916.5898824819856, -3532.17812548039, -7756.564980858758, -8844.88612579274, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.89
PSO,30,-9433.138479717216,-1858.7831858112297,"[2.16405717997223, 0.4049922054050987, 0.0, 20.0, 0.8968297395256576, 0.0, 12.0, 9.324003792807499]",50,22,10,0.0001,10,"[-2286.2832909839994, -2872.487835299293, -4171.066051746744, -6182.636325170554, -7023.071146540808, -8229.879921589294, -8426.618257455006, -8426.618257455006, -8426.618257455006, -8426.618257455006, -8426.618257455006, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",3.05
PSO,31,-9000.575024764077,-1527.9934483349198,"[3.2910019428807615, 0.48572445856549107, 0.0, 20.0, 1.1460101543573844, 0.0, 12.0, 12.479273637230337]",50,19,10,0.0001,10,"[-3745.1664858667805, -4786.781506732167, -5860.684631432915, -6866.339925691325, -7261.532617913768, -7387.200841492918, -7387.200841492918, -7926.870445294397, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077]",2.63
PSO,35,-6349.054920884385,-1876.4963672742042,"[8.300050716677424, 0.5177169125122156, 0.0, 20.0, 0.0, 0.0, 12.0, 14.318793047194909]",50,14,10,0.0001,10,"[-2508.0539611964373, -2729.030112593763, -5619.759911611124, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385, -6349.054920884385]",1.94
PSO,34,-8440.33989941665,-1821.5864358766505,"[4.3148316804508795, 0.9288757449156393, 0.0, 20.0, 0.7417523938797541, 0.0, 11.517889751232193, 12.00370660920726]",50,18,10,0.0001,10,"[-2428.1288692738644, -2874.8411240353025, -2874.8411240353025, -2874.8411240353025, -2874.8411240353025, -5646.75831615243, -7081.072661939623, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665, -8440.33989941665]",2.33
PSO,25,-9433.138479717216,-1858.7831858112297,"[2.0, 0.01618857392921741, 0.0, 20.0, 0.8782700138323576, 0.0, 12.0, 9.304094181369768]",50,31,10,0.0001,10,"[-3839.7217745506905, -4256.0663116585265, -7268.441368484809, -7268.441368484809, -8013.46948532575, -8013.46948532575, -8013.46948532575, -8013.46948532575, -8013.46948532575, -8013.46948532575, -8013.46948532575, -8013.46948532575, -8440.33989941665, -8440.33989941665, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",4.26
PSO,33,-9433.138479717216,-1858.7831858112297,"[2.263583276221177, 0.25090472200763486, 0.0, 20.0, 0.9134199475069975, 0.0, 11.634523022697143, 9.04694560285619]",50,18,10,0.0001,10,"[-2155.9927914172385, -2297.0700718409994, -2552.839524288006, -5918.693250253246, -8276.199701432364, -8720.100756186303, -8720.100756186303, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.55
