alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
GWO,3,-64951.970305040915,-3980.99462896457,"[5.76220980911425, 0.7240246088207672, 0.4143432331192416, 13.000738655874125, 2.474382817687688, 0.5, 6.287587278207792, 12.0]",30,19,10,0.0001,10,"[-18617.513917131586, -20455.523843057756, -37484.363583504804, -48507.6222216449, -60329.926559585016, -60329.926559585016, -60329.926559585016, -60329.926559585016, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915, -64951.970305040915]",0.81
GWO,0,-86128.77063449932,-3813.5672839988256,"[4.557544156999155, 0.1124080294886251, 0.12147087413842662, 135.35487841420107, 2.464723726623532, 0.39583823397148254, 5.0, 12.0]",30,34,10,0.0001,10,"[-37553.351919321125, -47519.23745270459, -47519.23745270459, -47519.23745270459, -47519.23745270459, -47519.23745270459, -47519.23745270459, -47519.23745270459, -47519.23745270459, -47519.23745270459, -59234.06431285842, -59234.06431285842, -59234.06431285842, -59234.06431285842, -59234.06431285842, -59234.06431285842, -59234.06431285842, -59234.06431285842, -64668.740729373436, -68267.497003363, -68267.497003363, -68267.497003363, -68267.497003363, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932]",1.44
CAB,6,-59229.200616361224,-3420.4940236737134,"[7.465095205055518, 0.9859418034209101, 0.29164215331649895, 92.67768347855456, 1.914071164550595, 0.31054072095826923, 9.98087710437296, 11.765722918275015]",30,38,10,0.0001,10,"[-20516.62290257199, -21690.31496125338, -27634.267234460585, -27634.267234460585, -32897.819414278354, -38231.55444716998, -38631.73447978222, -38631.73447978222, -38631.73447978222, -38631.73447978222, -38631.73447978222, -38631.73447978222, -43237.89096810722, -43237.89096810722, -43237.89096810722, -43237.89096810722, -43237.89096810722, -43237.89096810722, -57019.93143139979, -57019.93143139979, -57019.93143139979, -57019.93143139979, -57019.93143139979, -57019.93143139979, -57019.93143139979, -57019.93143139979, -57019.93143139979, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224, -59229.200616361224]",1.98
GWO,4,-68027.65137596018,-4667.938650765147,"[7.484732396941953, 1.4026963594123991, 0.44370299683432296, 154.83523514748447, 2.2096576026055375, 0.317097946041721, 9.824473487949806, 12.0]",30,15,10,0.0001,10,"[-22557.37728037995, -22557.37728037995, -42441.849942081484, -62184.9458138732, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018, -68027.65137596018]",0.71
GWO,7,-76746.13651389276,-2761.959381871799,"[4.812184923539234, 0.0, 0.22671513112281913, 79.03054076482755, 2.2594355603364282, 0.3739566301190577, 5.525020851296708, 12.0]",30,12,10,0.0001,10,"[-27864.29812901752, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276, -76746.13651389276]",0.52
CAB,5,-54914.92441711138,-3982.403894870437,"[7.055054973937227, 1.4909037506135945, 0.3315941762327771, 82.73166866664066, 1.9342280302388142, 0.3183671295789583, 8.629080502829172, 9.556688406063351]",30,45,10,0.0001,10,"[-18694.982381703794, -23225.633566920482, -24122.52804878548, -24397.101961595483, -24397.101961595483, -24397.101961595483, -24397.101961595483, -24397.101961595483, -24552.361113863673, -24552.361113863673, -24552.361113863673, -24552.361113863673, -24552.361113863673, -24552.361113863673, -24552.361113863673, -24552.361113863673, -27500.78999508157, -27500.78999508157, -27500.78999508157, -31386.867562215182, -31386.867562215182, -36635.69872643792, -41663.032570135525, -41663.032570135525, -41663.032570135525, -45837.802044872275, -45837.802044872275, -45837.802044872275, -52810.547612787814, -52810.547612787814, -52810.547612787814, -52810.547612787814, -52810.547612787814, -52810.547612787814, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138, -54914.92441711138]",2.49
GWO,6,-71843.57333459563,-6063.774484445859,"[6.4836584169741185, 0.31411467563276757, 0.3094297502837734, 39.778754160773275, 2.1750692768547797, 0.3715822433662342, 5.0, 12.0]",30,19,10,0.0001,10,"[-20516.62290257199, -20516.62290257199, -20516.62290257199, -20516.62290257199, -29730.455121351057, -63032.24187034352, -63032.24187034352, -63032.24187034352, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563, -71843.57333459563]",0.94
GWO,8,-86458.96612389958,-4491.255999648052,"[4.929266539591352, 0.2013657938224078, 0.35420644062210727, 119.24351094067178, 1.523801571485384, 0.41178505600969945, 5.0, 11.58188487889781]",30,28,10,0.0001,10,"[-31526.392924710468, -45485.01100429767, -45485.01100429767, -55561.84212289346, -55561.84212289346, -55804.78006030483, -55804.78006030483, -55804.78006030483, -74100.5879400932, -74100.5879400932, -74100.5879400932, -74100.5879400932, -74100.5879400932, -74100.5879400932, -74100.5879400932, -79980.58759229638, -79980.58759229638, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958, -86458.96612389958]",1.19
GWO,5,-86128.77063449932,-4144.919274195764,"[4.625260478765077, 0.0, 0.2009305918070244, 14.832024916089829, 2.2435994762648104, 0.4019503225996803, 5.0, 12.0]",30,31,10,0.0001,10,"[-18694.982381703794, -24869.90819195901, -30012.16526096199, -61194.80904565607, -69822.95550469597, -69822.95550469597, -69822.95550469597, -69822.95550469597, -69822.95550469597, -69822.95550469597, -69822.95550469597, -69822.95550469597, -84997.56117738751, -84997.56117738751, -84997.56117738751, -84997.56117738751, -84997.56117738751, -84997.56117738751, -84997.56117738751, -84997.56117738751, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932, -86128.77063449932]",1.44
GWO,9,-68890.34597308851,-3523.332895460877,"[3.132725333503226, 0.00048206903145833643, 0.5, 31.700025322432662, 1.931366108512176, 0.4898300087934584, 5.0, 7.465904143536089]",30,33,10,0.0001,10,"[-28433.946245115163, -30497.581847138143, -32517.81066993986, -45707.577625130885, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -65231.78959581891, -67407.16855551141, -67407.16855551141, -67407.16855551141, -67407.16855551141, -67407.16855551141, -67407.16855551141, -67407.16855551141, -67407.16855551141, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851, -68890.34597308851]",1.52
ABC,0,-70754.58632065445,-2306.4530456198013,"[6.348999931723383, 2.8052172713633046, 0.41065355079043536, 10.520315032328138, 2.572212829762708, 0.2260529364149523, 10.107588125009608, 6.2295893442179135]",30,13,10,0.0001,10,"[-37553.351919321125, -55854.90503659383, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445, -70754.58632065445]",2.05
ABC,1,-69186.04976826673,-6749.229969163155,"[5.852151968532262, 0.4365704202584431, 0.4346747904714227, 178.13180441579644, 1.6639941333394226, 0.38138361911716867, 6.4680292776812855, 12.0]",30,18,10,0.0001,10,"[-21474.802436422873, -24981.148130916845, -34692.352042369974, -47984.45636502652, -67076.18981333179, -67076.18981333179, -67076.18981333179, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673, -69186.04976826673]",2.8
ABC,2,-74406.61097004652,-3755.6491282907127,"[4.096736697720222, 1.7096341506502042, 0.26289688794961236, 10.0, 2.211030320093264, 0.40605215227892894, 8.029819157468028, 11.601485671713432]",30,20,10,0.0001,10,"[-23531.185463925056, -24611.997961688314, -35864.98379736828, -39836.930346540015, -39836.930346540015, -39836.930346540015, -55563.00644056245, -55563.00644056245, -71354.9821184159, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652, -74406.61097004652]",2.91
ABC,6,-79768.4121602027,-4454.652120857001,"[5.250892274148837, 1.9742597057921454, 0.05911983504230957, 103.14667011118689, 2.391788727257161, 0.3020142262781427, 7.4210310898610485, 11.36263141916941]",30,15,10,0.0001,10,"[-20516.62290257199, -50003.59132721853, -74148.41416239007, -74148.41416239007, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027, -79768.4121602027]",2.36
ABC,3,-61437.18400760656,-4041.4195281006882,"[5.686797734998724, 1.4802727501024133, 0.33497737066550326, 10.0, 1.9547546158384113, 0.39255991392322226, 5.416010459607978, 10.71480587779199]",30,23,10,0.0001,10,"[-18617.513917131586, -32416.78550131384, -33434.66063419738, -33434.66063419738, -33434.66063419738, -33434.66063419738, -33434.66063419738, -33434.66063419738, -57855.55858405935, -57855.55858405935, -57855.55858405935, -59706.50283215472, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656, -61437.18400760656]",3.43
ABC,7,-70539.34796680538,-2054.080732582555,"[8.054295660872981, 1.4941199732027926, 0.21752618480154964, 112.92271857905081, 2.05998111963878, 0.3016288497900951, 5.670190878357127, 12.0]",30,19,10,0.0001,10,"[-27864.29812901752, -48284.90904601092, -52067.6162750079, -52067.6162750079, -52067.6162750079, -52067.6162750079, -52067.6162750079, -67811.15526139749, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538, -70539.34796680538]",2.71
ABC,4,-56455.07140229555,-5237.117765765625,"[3.688607903810686, 1.6827968014916186, 0.14798685241493714, 31.23530468755146, 1.902079403621407, 0.4783842095766062, 6.124348868805509, 8.654971584802455]",30,27,10,0.0001,10,"[-22557.37728037995, -22907.49098331724, -32049.514526802803, -38303.29535792277, -38303.29535792277, -38303.29535792277, -38303.29535792277, -38303.29535792277, -38303.29535792277, -38303.29535792277, -39916.75690372523, -47402.5003192773, -47402.5003192773, -47402.5003192773, -47402.5003192773, -52050.428291880744, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555, -56455.07140229555]",3.82
ABC,5,-64914.527679771105,-3462.399618588381,"[5.6778102491115625, 2.2964643551544386, 0.1959078551818197, 167.46983042558455, 2.063825798455058, 0.38500053556923425, 7.239594418088413, 11.713448843697215]",30,26,10,0.0001,10,"[-18694.982381703794, -41423.39452960966, -56487.08853272718, -56487.08853272718, -56487.08853272718, -58016.567475301235, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64807.59410739334, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105, -64914.527679771105]",3.46
ABC,9,-66498.6946754536,-2597.0332199740637,"[7.317158709716061, 0.6689463735713672, 0.23792211407684627, 117.2184800890562, 2.3097090627011774, 0.36678594818147275, 6.471881801619141, 11.568340800683101]",30,14,10,0.0001,10,"[-28433.946245115163, -54788.8427962236, -56979.666960817754, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536, -66498.6946754536]",1.62
ABC,8,-76195.87979648322,-5631.078530072025,"[6.586728194363603, 0.6997275308680349, 0.3422441180827255, 19.80409757575841, 1.5798994218070979, 0.4019634995951856, 6.418460487499207, 11.896091828420179]",30,32,10,0.0001,10,"[-31526.392924710468, -39651.75696342248, -39651.75696342248, -39651.75696342248, -42075.97947629055, -57704.262011756946, -57704.262011756946, -57704.262011756946, -57704.262011756946, -57704.262011756946, -57704.262011756946, -57704.262011756946, -61976.39616294046, -68696.54900807812, -68696.54900807812, -68696.54900807812, -68696.54900807812, -68696.54900807812, -68696.54900807812, -68696.54900807812, -68696.54900807812, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322, -76195.87979648322]",3.38
