alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,w,c1,c2
PSO,3,3.305972874031721,"[1.1210596151306187, -0.178665773761447, 0.20996607372176967, -0.9970874118618303, 0.183449824165832, -0.1384986366422969]",23,10,0.02,70,0.8,2.0,2.0
PSO,4,2.444979535752712,"[-0.08174382797836977, -0.09755655228357174, 0.9133418931896558, 0.20549365188779953, 0.27310218645081896, 0.06544868671541249]",17,10,0.02,70,0.8,2.0,2.0
PSO,0,1.5495091101687604,"[-0.23172691226317682, 0.029518225565233758, 0.1056007423632197, -0.023162683686797303, -0.00915705236777864, -0.30235899885433026]",50,5,0.05,70,0.8,2.0,1.8
PSO,1,2.5078703452438202,"[-0.9447438241476296, -0.018659308585609588, -0.06647516546324406, -0.0740620472891953, 0.06340611287010284, -0.44833876055887]",26,10,0.03,70,0.8,2.0,1.8
PSO,2,2.5503641755975406,"[-1.1208178508815752, 0.011962977969513455, 0.18539969051776978, 0.14893756045602957, -0.11213203209361966, -0.14490394168065773]",26,10,0.03,70,0.8,2.0,1.8
PSO,3,2.791658258702768,"[0.23711857678250492, -0.238927893237605, 0.23217106655678998, -0.6405928841852557, -0.07758530480786119, -0.1806302684226312]",26,10,0.03,70,0.8,2.0,1.8
PSO,4,3.148812655727245,"[0.08884902936188788, -0.06389998478508674, -0.8558025130191609, -0.4839151004721616, 0.10450517660678821, -0.9252390057627206]",26,10,0.03,70,0.8,2.0,1.8
PSO,0,2.0480990820347036,"[0.016843653139771098, 0.1972709906113701, 0.18534534691385418, -0.09354662796872026, -0.3863836016153386, -0.15571007278184928]",24,10,0.03,70,0.8,1.8,2.0
PSO,1,2.311397140843987,"[0.01707195929189842, -0.9847775601840161, 0.07136858072725338, -0.13283699753352668, 0.29736368707142025, -0.017327808991869725]",24,10,0.03,70,0.8,1.8,2.0
PSO,2,1.6325605818115574,"[0.12468772547729867, 0.03734688956170234, 0.08378211244140399, -0.11820121744989942, -0.06280778609089906, 0.38254460412404434]",32,10,0.04,70,0.8,1.8,2.0
PSO,3,1.421105196335731,"[0.015891188093597464, 0.037127670109683805, 0.14838862598906338, -0.33244495518009315, 0.07848838133620062, -0.06174975248456695]",50,8,0.05,70,0.8,1.8,2.0
PSO,4,1.8635043374066425,"[-0.5167636565870959, 0.0580392782291669, 0.0703987275366687, 0.05514255053453154, -0.01837836286527028, 0.16071357354909754]",50,0,0.06,70,0.8,1.8,2.0
PSO,0,2.4623187919226663,"[-0.1126991179576855, 0.10954411527429486, -0.9762820274832725, -0.03819632338948675, 0.08815209885569789, -0.3339071508490177]",22,10,0.02,70,0.8,1.8,1.8
PSO,1,0.6230893000167836,"[0.07037513702798082, -0.06721567892983027, -0.09458222172697933, -0.1393033487575504, 0.012960333747851244, -0.007830829873207934]",34,10,0.04,70,0.8,1.8,1.8
PSO,2,3.257033713602294,"[-0.9788432691765032, -0.621963886210207, -0.11558353265911236, -0.011311184141904462, -0.10212160119216795, -0.7583881062000803]",16,10,0.02,70,0.8,1.8,1.8
PSO,3,1.5145148459743756,"[-0.16538845910591016, -0.04163197203396357, -0.003414036115081745, -0.25107079439710156, -0.23118371781728053, 0.0010903917591796042]",31,10,0.03,70,0.8,1.8,1.8
PSO,4,1.516753969302457,"[0.07716953281841021, -0.09049997697134304, 0.06977845359877222, 0.3810293770587526, -0.007187073379699482, 0.08846085161944134]",21,10,0.02,70,0.8,1.8,1.8
PSO,0,3.532105732549685,"[0.36692476715118927, 0.1511045995571889, 0.4983741316593428, -0.47058322932450314, 0.0032220672975324938, -0.5727928530972364]",16,10,0.02,70,0.9,2.0,2.0
PSO,1,3.699048756581789,"[-0.9101126835050901, -0.24960200831374735, 0.9621602903562365, -0.7764751321903005, -0.820556000567074, 0.11074271326791707]",23,10,0.03,70,0.9,2.0,2.0
PSO,2,3.2103518415731895,"[-0.004538646998438978, -0.5472809921850406, -0.07311386412079374, -0.16593921044886417, -1.0675418901210076, -0.27657602449290286]",26,10,0.03,70,0.9,2.0,2.0
PSO,3,4.070910680155254,"[0.2375769381052486, -0.019551617610830796, -1.1175839551759674, -1.2004321912944191, 0.18830402736764107, -0.6389296208228923]",23,10,0.03,70,0.9,2.0,2.0
PSO,4,3.2151610286957326,"[0.6006270939240544, 0.22283637680374754, -0.0038269110676862894, -1.0627231366195182, 0.20165841366924386, -0.1265856038787629]",42,10,0.05,70,0.9,2.0,2.0
PSO,0,3.506233782760138,"[0.7034143669213131, 0.49839216076358017, 0.035019112951665265, -0.2321101454747549, -0.1785943508108403, 0.8450796967261507]",32,10,0.04,70,0.9,2.0,1.8
PSO,1,4.196054834508622,"[-1.5283537834531513, 0.8130763420061167, -0.8384179494977357, -0.12467622506423362, 0.09209671010829235, 0.12080117922297995]",16,10,0.02,70,0.9,2.0,1.8
PSO,2,2.73744844682803,"[0.9926997496070769, -0.468968159501169, -0.13484944820515365, -0.07661669881206312, 0.12716678156088146, 0.0004933079187310341]",23,10,0.03,70,0.9,2.0,1.8
PSO,3,3.3568994359275384,"[0.37679688859542093, -0.07616173748937788, 0.05506009859327804, 0.7972911583917061, -0.2736998331730581, 0.7039589418652882]",23,10,0.03,70,0.9,2.0,1.8
PSO,4,3.606797995400417,"[-0.06376514656390597, 0.01983311926497633, -0.6801429978508106, -0.33699328557502595, 0.6472640990689138, -0.6916928468661188]",24,10,0.03,70,0.9,2.0,1.8
PSO,0,3.043199622561812,"[0.3273325354485843, 0.16091124783884547, -0.21502228169283333, -0.3029975502673987, 0.782757535584576, -0.11528150359477346]",24,10,0.03,70,0.9,1.8,2.0
PSO,1,2.6010581753073443,"[0.09726188260003377, -0.40393546030346683, 0.7984390578373668, 0.1634304129375731, -0.029838472490402, 0.07808541004957947]",24,10,0.03,70,0.9,1.8,2.0
PSO,2,3.178945614091447,"[-0.7414992239790097, -0.31192519841260435, 0.7201400624518377, 0.020449200321734966, 0.15441141471260356, -0.17254309740167711]",26,10,0.03,70,0.9,1.8,2.0
PSO,3,3.7708976139919845,"[-0.3283359903867574, -0.3476049071289897, -0.21085154091207747, -1.0921205995576218, 0.0825721703615, -0.5070316600072781]",24,10,0.03,70,0.9,1.8,2.0
PSO,4,3.7043131610261324,"[-0.09757185702468729, -0.2594447863536402, 0.04236505340110153, -0.9211199123159621, -1.227491587992803, 1.0429187763811125]",23,10,0.03,70,0.9,1.8,2.0
PSO,0,2.524763304537377,"[0.30049216415007307, -0.09520391031323663, 0.5340788301574344, -0.015490203207783715, -0.2352667947446465, 0.10973323390671375]",48,10,0.06,70,0.9,1.8,1.8
PSO,1,3.73042445980833,"[-0.9019584391404426, -0.5704364944073566, 0.057406046520203396, -0.7485463178507246, 0.6631740090898084, 0.034317573287544034]",19,10,0.02,70,0.9,1.8,1.8
PSO,2,3.1711273631746946,"[0.3740860415928795, -0.05468745999659119, -0.1519752743791059, 0.6350972410228524, 0.04370864798377405, 0.9050353428514537]",22,10,0.03,70,0.9,1.8,1.8
PSO,3,3.7226744365082216,"[-0.2629567654544629, -1.000042871069164, -0.12711517170412812, 0.08711448927587817, 1.1217424594967782, -0.643290980352941]",22,10,0.02,70,0.9,1.8,1.8
PSO,4,3.225191826389296,"[-0.8832543963428527, 0.9758184212274381, -0.2754192910375148, -0.26927066667794075, 0.06268738626410375, 0.158114254122232]",27,10,0.03,70,0.9,1.8,1.8
PSO,0,2.6955620082691856,"[-0.053265617285956135, 0.12395737058016604, 0.6904881640964793, 0.43441614143519736, -0.12769553767015007, 0.11410066479173109]",32,10,0.05,100,0.8,2.0,2.0
PSO,1,2.6280950096047637,"[-0.3089985654528441, -0.3377069305438778, 0.1552005556973053, 0.059898451163214905, -0.4300436000602867, 0.007319125922076619]",20,10,0.03,100,0.8,2.0,2.0
PSO,2,3.0311171187773316,"[0.002365504382091932, 0.14071326788328353, -0.8557324934439432, -0.8347758506740766, 0.002009154168379712, 1.0818736545180185]",17,10,0.03,100,0.8,2.0,2.0
PSO,3,2.3242044635784187,"[-0.2750042533632465, -0.1970066110125943, 0.08939355296272139, 0.17247517695334622, -0.11200458226786503, 0.383149351720156]",32,10,0.05,100,0.8,2.0,2.0
PSO,4,3.0095946481819635,"[0.0310474227059494, -1.0046671608759625, 0.0075356909008625905, -0.23132907420558746, -0.31176860121389494, 0.3215189778532165]",29,10,0.04,100,0.8,2.0,2.0
PSO,0,0.7742678564645691,"[-0.10101463375734779, 0.04106167570078597, 0.12411120842168545, 0.0519803479776432, -0.13794482411229528, 0.050669195214379376]",50,1,0.08,100,0.8,2.0,1.8
