alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,r_repulsion,r_orientation,r_attraction,alpha,beta
CAB,4,2.401774947146212,"[-0.04810635189626514, 0.15352775477584618, 0.6380493137583391, -0.19823867920334196, 0.10948612662894806, 0.19857527732275468]",50,5,2.3,60,0.3,1.2,2.0,0.16,0.07
CAB,0,2.950604867473676,"[0.7746746360996053, 0.09519932548982143, 0.17163178512588637, -0.08095382721654354, -0.250807782809405, 0.4411799534923861]",50,1,2.38,60,0.5,1.0,1.5,0.13,0.03
CAB,1,1.7851317036561665,"[-0.1739174778994142, 0.10434401764083942, 0.2747648372838461, -0.2640939707665412, -0.01577409411466199, 0.05744866765889021]",50,5,2.37,60,0.5,1.0,1.5,0.13,0.03
CAB,2,1.8022539268103022,"[0.007472785216577717, -0.040995395890410576, 0.011022526396554372, -0.4693310387008296, -0.07608095407395622, -0.17996546678961445]",50,0,2.37,60,0.5,1.0,1.5,0.13,0.03
CAB,3,1.3043220951803716,"[0.04407807650607609, 0.010380378897320557, -0.2240478892237193, -0.011826947386891483, 0.25721357907112335, -0.020075551355084705]",50,3,2.34,60,0.5,1.0,1.5,0.13,0.03
CAB,4,2.576528523666902,"[-0.21617022268867012, -0.16422862396235816, 0.011094885728593889, -0.2743503489117168, -0.14823488759955353, 0.5385367326978122]",50,0,2.39,60,0.5,1.0,1.5,0.13,0.03
CAB,0,3.0547811887946463,"[1.1709837420971587, -0.09616218473407209, -0.11296044330680005, -0.06897761222820668, -0.03455007584178087, 0.6518888248352873]",50,0,2.4,60,0.5,1.0,1.5,0.13,0.07
CAB,1,2.0080347550997257,"[-0.5790680883478709, -0.10197008326886979, -0.05410414106232174, 0.12924171949923946, -0.0668879498089662, 0.12388849166858852]",50,0,2.36,60,0.5,1.0,1.5,0.13,0.07
CAB,2,1.6554832107111292,"[-0.03498695588152712, 0.07397481874330261, 0.0516755565701044, -0.9179674187937447, 0.054204811674708676, 0.06536574204715928]",50,0,2.37,60,0.5,1.0,1.5,0.13,0.07
CAB,3,2.1782135676312646,"[1.09057436791384, -0.0377682860777975, -0.19161183064573103, 0.06832234606395805, -0.03135080155177299, 0.07987205004519837]",50,0,2.35,60,0.5,1.0,1.5,0.13,0.07
CAB,4,2.4203811884643405,"[-0.2322821138949018, 0.20324886708728934, -0.519491352176918, -0.04364131079663339, 0.13921308801122287, 0.14322961957294286]",50,2,2.38,60,0.5,1.0,1.5,0.13,0.07
CAB,0,1.645423172116431,"[0.24218450258109522, 0.03285476836991065, 0.20102967095864346, 0.20453386355108924, -0.13273847670582525, 0.042966044211365066]",50,3,2.35,60,0.5,1.0,1.5,0.16,0.03
CAB,1,0.6388352600121725,"[-0.01571039992497825, -0.05044842352619292, 0.03285981460983366, -0.18667706144467638, -0.04289414472659969, -0.01698435037126975]",50,1,2.3,60,0.5,1.0,1.5,0.16,0.03
CAB,2,0.21589654633982436,"[-0.038205092856525076, -0.0002009339313244823, 0.05461760311459574, 0.004444554224208383, -0.024465287549451396, 0.05438572409651936]",50,0,2.3,60,0.5,1.0,1.5,0.16,0.03
CAB,3,0.2800885881011905,"[0.026484585797960418, -0.020887868710142907, -0.021070576988917775, -0.03436182234271233, -0.08439767489156033, -0.04486972788780478]",50,1,2.29,60,0.5,1.0,1.5,0.16,0.03
CAB,4,2.2848364573325175,"[-0.05638029948003637, 0.8276206971703993, 0.023714023352312333, -0.021063730164479814, -0.014957860646117607, 1.0044169845381348]",50,0,2.3,60,0.5,1.0,1.5,0.16,0.03
CAB,0,2.6549401538872357,"[0.9826228908604839, -0.16841969749239083, 0.03667799776256522, -0.04402693633562691, -0.1293532149492271, 1.0607681486245677]",50,3,2.35,60,0.5,1.0,1.5,0.16,0.07
CAB,1,0.256931738721367,"[-0.046576751446762085, -0.004009934341606444, 0.08310177636506866, 0.00539698661259478, 0.016884998134817277, 0.032634182543128894]",50,0,2.31,60,0.5,1.0,1.5,0.16,0.07
CAB,2,0.5082039896001267,"[-0.016301888183408997, -0.010305080713194855, -0.11814035910290843, -0.06794426149304131, -0.09438131690506274, -0.023769558809867752]",50,1,2.33,60,0.5,1.0,1.5,0.16,0.07
CAB,3,0.23000351705953337,"[0.01437346105296787, -0.004050669018560826, -0.00011839177445877036, 0.07968322957847739, -0.018273244110974602, -0.04423267278327706]",50,0,2.29,60,0.5,1.0,1.5,0.16,0.07
CAB,4,1.3310344466022,"[-0.06727935233139239, 0.20816217786441535, -0.12381774155422749, 0.107249760864288, 0.10665305992598648, 0.1669200638378661]",50,1,2.33,60,0.5,1.0,1.5,0.16,0.07
CAB,0,1.8887238988408268,"[1.0897581594491557, -0.02456409587464827, 0.06756593827788519, 0.035669282206231126, -0.0782798771486733, -0.01672695530889275]",50,0,2.37,60,0.5,1.0,2.0,0.13,0.03
CAB,1,1.9437425316155843,"[-0.16573826325868915, 0.02492457407712897, -0.2550051937639383, -0.17781384969214933, -0.3061625467516652, -0.03271473197265732]",50,0,2.35,60,0.5,1.0,2.0,0.13,0.03
CAB,2,1.4026886740558528,"[-0.17210344620195592, 0.021020389073206018, 0.21963405991927154, -0.0809976507774864, 0.10436459133219336, 0.16982108529371887]",50,0,2.35,60,0.5,1.0,2.0,0.13,0.03
CAB,3,3.042178346574613,"[0.9970027398329846, -0.9832542607140076, -0.8795909978918585, 0.9757655599429677, 0.002353316445725888, -0.0365983711133378]",50,5,2.32,60,0.5,1.0,2.0,0.13,0.03
CAB,4,2.7559701557841163,"[-0.07526863799924388, -0.007468243951792705, -0.07886695695512107, 0.28451375239700133, -0.000736943938874187, 1.205518319531228]",50,1,2.34,60,0.5,1.0,2.0,0.13,0.03
CAB,0,2.4112126228138107,"[0.22314162146819136, 0.14378630096369033, 0.19059433162368541, 0.07401793820541899, 0.15479050169447917, 0.5089272282576441]",50,0,2.37,60,0.5,1.0,2.0,0.13,0.07
CAB,1,1.2670410890621082,"[-0.2535198160229019, -0.06405682714781614, 0.03567783856211598, -0.17697853938595504, -0.08662245467789928, 0.04996997502572744]",50,0,2.33,60,0.5,1.0,2.0,0.13,0.07
CAB,2,0.8177112055923215,"[-0.12193491443356508, 0.1695914488613683, 0.030136655002248523, -0.08330272040229023, -0.021515470788457815, -0.06670081184222793]",50,0,2.35,60,0.5,1.0,2.0,0.13,0.07
CAB,3,1.2495418092876638,"[0.12384361543434504, 0.21932989427568692, 0.10976997787131862, -0.033259217841213426, 0.10869637570408033, 0.12684415046231232]",50,0,2.3,60,0.5,1.0,2.0,0.13,0.07
CAB,4,2.393930245533,"[0.36046849392685976, 0.25516094981661014, -0.11251869478347809, -0.20189047881509106, 0.2707075096919513, -0.02499199599241543]",50,0,2.36,60,0.5,1.0,2.0,0.13,0.07
CAB,0,0.6952951152288205,"[-0.018929448232628987, -0.030795650558544576, 0.004622039085727524, -0.10036860254908853, -0.16991802038385315, 0.0696543201233556]",50,1,2.3,60,0.5,1.0,2.0,0.16,0.03
CAB,1,5.38143759394713,"[-2.245656267312014, 0.31020089311180293, 0.6417777726256976, -0.08647929129317919, -0.8713141057024161, 0.8855680961317303]",18,10,0.87,60,0.5,1.0,2.0,0.16,0.03
CAB,2,0.13160887216906447,"[-0.021781706985082847, -0.023211935653139983, -0.04609590587010098, 0.010876262415394689, -0.014388570780377391, -0.015064337396693476]",50,2,2.27,60,0.5,1.0,2.0,0.16,0.03
CAB,3,2.6177436402286465,"[0.9706880203758954, -0.9670749262332925, -0.030004544600222102, 1.000022753346004, 0.019366857757895758, -0.014142414627337084]",50,4,2.24,60,0.5,1.0,2.0,0.16,0.03
CAB,4,0.8634487575802585,"[0.06332099334205345, 0.0340454846346327, 0.08508432944255344, 0.034253432121901184, 0.06973639257370581, 0.2100998069978084]",50,1,2.32,60,0.5,1.0,2.0,0.16,0.03
CAB,0,2.3835258919773854,"[0.4989178489201713, 0.143939077578968, 0.12680818402654095, 0.03933147842676699, -0.33704683170905686, -0.0007783963123882045]",50,1,2.29,60,0.5,1.0,2.0,0.16,0.07
CAB,1,5.453553634997984,"[-2.2599801316395887, 0.29971658291768455, 0.6266579819759257, -0.13460100958720067, -0.8507119982228907, 0.9274734832137309]",18,10,0.86,60,0.5,1.0,2.0,0.16,0.07
CAB,2,0.10388156147769623,"[0.028992439804982756, -0.02876150820296942, 0.0017219656564935785, 0.012749084259147309, 0.007743068830941991, -0.024781804067232065]",50,5,2.29,60,0.5,1.0,2.0,0.16,0.07
CAB,3,1.2263137281282934,"[0.008057071316267967, -0.04522534448186493, 0.0890870978974442, 0.1419221809148892, -0.09999356198299203, 0.25588787493674936]",50,0,2.23,60,0.5,1.0,2.0,0.16,0.07
CAB,4,0.5193384341725538,"[-0.023584191559905474, 0.043504286658942584, 0.02923107031580189, 0.12146774655688082, 0.10625749810602128, -0.006524096319220241]",50,1,2.34,60,0.5,1.0,2.0,0.16,0.07
CAB,0,3.5766558889817373,"[1.0773767412053576, 0.057243756462665024, 1.1448469137629615, -0.28772083686664335, -0.002622033331757528, 1.0195770084671922]",50,5,2.42,60,0.5,1.2,1.5,0.13,0.03
CAB,1,2.152705381407355,"[-0.1201955625519612, 0.10631012301353925, 0.003403949110828302, -0.27695661178503816, 0.0077987205459294825, -0.47586197688389137]",50,0,2.36,60,0.5,1.2,1.5,0.13,0.03
CAB,2,1.6978879183306756,"[0.1793851517112632, 0.06157622046563068, -0.061869164739895614, -0.380313022785109, -0.03357724092648789, 0.10967971772188323]",50,0,2.37,60,0.5,1.2,1.5,0.13,0.03
CAB,3,1.7578725752586988,"[0.8726058793397996, 0.026668980273053745, -0.1091379999046957, 0.09997944735024306, 0.03460225676540431, 0.06772101211768033]",50,2,2.38,60,0.5,1.2,1.5,0.13,0.03
CAB,4,1.8076157689566377,"[0.024935026425947016, 0.08360284704814215, 0.03612302693487155, -0.08377511743667689, 0.12497905936462654, 0.5023738110945346]",50,0,2.45,60,0.5,1.2,1.5,0.13,0.03
CAB,0,3.5312270252901787,"[1.4114753853438968, 0.005401699556592039, -0.15139439226118367, -0.18866867334740056, 0.11768949065294435, 0.20664327241175465]",50,1,2.45,60,0.5,1.2,1.5,0.13,0.07
CAB,1,2.0116420461749773,"[0.049053564289877755, 0.11262052606326084, 0.5166029948132369, -0.012782193165791492, 0.21869315740698045, 0.013875794460259574]",50,5,2.37,60,0.5,1.2,1.5,0.13,0.07
CAB,2,0.8410478560725214,"[-0.10700549391327728, -0.028035294456891825, -0.08885278770180531, -0.029771754031125554, 0.07297205172049878, 0.18042339279258204]",50,0,2.37,60,0.5,1.2,1.5,0.13,0.07
CAB,3,3.2823957165821622,"[0.9170761477944259, -0.07150307070150594, -1.1022291628574765, 0.9187413503305494, -0.0904549206461389, 0.921996241080895]",36,10,1.73,60,0.5,1.2,1.5,0.13,0.07
